"Date","IP","INFL","RM","FFR"
1980 Jul,-0.720700149364806,0.121138718629776,0.939679908201985,9.03
1980 Aug,0.32051870317682,0.723766730023012,0.304170569902418,9.61
1980 Sep,1.6557131945794,0.837826564599808,-0.0426348333040671,10.87
1980 Oct,1.25952827368172,0.948998818484803,-0.261535736598351,12.81
1980 Nov,1.65585248637363,1.05696814896872,-0.364084569877043,15.85
1980 Dec,0.652281522660747,0.930239266231414,-0.683551734430043,18.9
1981 Jan,-0.62440460496056,0.921665510492353,-0.476397609535351,19.08
1981 Feb,-0.417197947728543,0.913248356327312,-0.184672259316443,15.93
1981 Mar,0.509215121603246,0.67950431328283,0.423154757168831,14.7
1981 Apr,-0.420948993513726,0.562747686572873,0.808760541414344,15.72
1981 May,0.566943146365873,0.671143458798618,-0.371217642159749,18.52
1981 Jun,0.524989926732111,0.88790816411306,-0.524198017328814,19.1
1981 Jul,0.639030680411201,1.09891215755953,-0.407199845982564,19.04
1981 Aug,-0.115619823182156,0.762115828107213,-0.0272057024830019,17.82
1981 Sep,-0.489911389596243,0.971405372047318,-0.283378936230072,15.87
1981 Oct,-0.77137888989216,0.321716095177571,0.603935566161162,15.08
1981 Nov,-1.17390056273039,0.427351077738169,0.400606858847219,13.31
1981 Dec,-1.08863489845761,0.319319057915557,0.791070989350207,12.37
1982 Jan,-2.06910926662509,0.318302656012115,0.523925282935167,13.22
1982 Feb,2.02112322381991,0.317292704057692,-0.0853515468437038,14.78
1982 Mar,-0.675446785387113,0,0.675480588727684,14.68
1982 Apr,-0.917681743891485,0.316289140850845,0.649884727279826,14.94
1982 May,-0.673182621999802,0.942909028885186,-0.305923546784026,14.45
1982 Jun,-0.25814746834496,1.14049966139902,-0.556219153527415,14.15
1982 Jul,-0.344547622229685,0.514139950041859,-0.212709466002536,12.59
1982 Aug,-0.906007521954333,0.20491810449359,0.536222781494544,10.12
1982 Sep,-0.258313090709228,0,0.712272512982626,10.31
1982 Oct,-0.966901601049974,0.408580752258025,0.199579898180247,9.71
1982 Nov,-0.318882406471932,-0.101988790074525,0.846400037248785,9.2
1982 Dec,-0.712265683321789,-0.3065919621835,1.48212065228126,8.95
1983 Jan,1.83754726506957,0.204499048772711,2.56073908204577,8.68
1983 Feb,-0.618253952701453,0.10209291341079,1.79257090088916,8.51
1983 Mar,0.832687611191663,0.101988790074525,0.811383306645652,8.77
1983 Apr,1.24504867309438,0.711023818250478,-0.0486926045555336,8.8
1983 May,0.623630568156353,0.404040953700502,0.311223748583789,8.63
1983 Jun,0.604068345520536,0.201409937170105,0.305417762559657,8.98
1983 Jul,1.47270257842309,0.401606965488988,0.14510982521152,9.37
1983 Aug,1.18903048378538,0.300150300375623,0.144899561673917,9.56
1983 Sep,1.42959958441913,0.299252093645475,0.144689906596795,9.45
1983 Oct,0.782285784384396,0.3976148379639,0.36561353085931,9.48
1983 Nov,0.441167356202277,0.297177038915741,0.325998658720739,9.34
1983 Dec,0.50445748712904,0.29629651306573,0.234253722515643,9.47
1984 Jan,1.9597583953463,0.687963401353642,0,9.56
1984 Feb,0.465928473574229,0.488520756604949,0.443100517721362,9.59
1984 Mar,0.467131275105626,0.291971010333469,0.493195859106432,9.91
1984 Apr,0.591358303526235,0.38797332855891,0.368307149743075,10.29
1984 May,0.53449660051319,0.193423657983072,0.371651452177613,10.32
1984 Jun,0.355793823308037,0.193050253005822,0.304756782278215,11.06
1984 Jul,0.277814473340721,0.384986038544177,-0.00936329588698825,11.23
1984 Aug,0.120373171320809,0.287769982761521,0.0234065960856178,11.64
1984 Sep,-0.280054357453841,0.286944242795251,0.336448915507948,11.3
1984 Oct,-0.045433518393434,0.381316000641441,0.265554909253574,9.99
1984 Nov,0.333556503194732,0.190114125702401,0.801691079823641,9.43
1984 Dec,0.0483980972862952,0.189753377619173,0.900575834826789,8.38
1985 Jan,-0.0487648389515982,0.189393996007059,0.928799246647127,8.35
1985 Feb,0.30704159476338,0.566039247171002,0.361893093780186,8.5
1985 Mar,0.131535938318805,0.469264117819268,0.0406311375535928,8.58
1985 Apr,-0.19682005913273,0.187090793581124,0.202908422678139,8.27
1985 May,0.148062330203835,0.186741417479563,0.404585851954398,7.97
1985 Jun,-0.0476850384897531,0.279459893101563,0.684061416060011,7.53
1985 Jul,-0.518509908543852,0.185873659462565,0.511100865934733,7.88
1985 Aug,0.331753119999778,0.185528810174596,0.411423084710538,7.9
1985 Sep,0.367328330865302,0.185185238107355,0.317362632483054,7.92
1985 Oct,-0.346458650956105,0.369344833535212,0.105564118006374,7.99
1985 Nov,0.342080590873817,0.459770924862912,-0.0659645134850173,8.05
1985 Dec,0.983877557596813,0.457666702741211,0.11870481269014,8.27
1986 Jan,0.525175807354117,0.364631215302058,0.0351447528109006,8.14
1986 Feb,-0.687157807815453,-0.182149412839117,0.613042161655208,7.86
1986 Mar,-0.703026332087475,-0.548447444216027,1.34852992094068,7.48
1986 Apr,0.114360232588773,-0.367309871186094,1.3390860857899,6.99
1986 May,0.196183486241441,0.275608810197969,0.774689026213604,6.85
1986 Jun,-0.394029111002236,0.366300775873718,0.412406425526424,6.92
1986 Jul,0.608317953004001,0.0913659268674927,0.732236163575006,6.56
